station_id,name
3004,Municipal Services Building Plaza
3005,"Welcome Park, NPS"
3006,40th & Spruce
3007,"11th & Pine, Kahn Park"
3008,Temple University Station
3009,33rd & Market
3010,15th & Spruce
3012,21st & Catharine
3014,"21st & Winter, Franklin Institute"
3015,"4th & Walnut, NPS"
3016,"11th & Poplar, John F. Street Community Center"
3017,6th & Berks
3018,12th & Filbert
3019,6th & Race
3020,University City Station
3021,18th & JFK
3022,Amtrak 30th Street Station
3024,"43rd & Chester, Clark Park"
3025,11th & Washington
3026,2nd & Lombard
3028,4th & Bainbridge
3029,36th & Sansom
3031,13th & Montgomery
3032,23rd & South
3033,10th & Chestnut
3034,11th & Reed
3035,Dornsife Center
3037,Pennsylvania Convention Center
3038,The Children's Hospital of Philadelphia (CHOP)
3039,Broad & Girard
3040,17th & Spring Garden
3041,"Girard Station, MFL"
3047,"Independence Mall, NPS"
3049,Foglietta Plaza
3051,23rd & Fairmount
3052,9th & Locust
3053,Point Breeze & Tasker
3054,Rodin Museum
3055,8th & Market
3056,Broad & Oxford
3057,Philadelphia Museum of Art
3059,"Spring Garden Station, BSL"
3060,Free Library of Philadelphia - Central Library
3063,17th & Pine
3064,"18th & Washington, Chew Playground"
3065,Girard & Hutchinson
3066,19th & Lombard
3067,"39th & Mt. Vernon, Mantua Haverford Community Center"
3068,Broad & Federal
3069,4th & Christian
3072,Front & Carpenter
3073,9th & Spring Garden
3074,44th & Walnut
3075,Fairmount & Ridge
3077,17th & Girard
3078,19th & Market
3086,Broad & Christian
3088,3rd & Girard
3093,33rd & Diamond
3096,29th & Dauphin
3097,"Berks Station, MFL"
3098,10th & Federal
3099,4th & Washington
3100,Moyamensing & Tasker
3101,11th & South
3102,"Pennsylvania & Fairmount, Perelman Building"
3104,34th & Mantua
3106,33rd & Dauphin
3107,33rd & Reservoir
3110,Del. River Trail & Penn St.
3111,"Parkside & Belmont, Case Building"
3112,48th & Spruce
3113,Philadelphia Zoo
3114,22nd & Federal
3115,"19th & Girard, PTTI"
3116,Barnes Foundation
3117,ParkWest Town Center
3118,"46th Street Station, MFL"
3119,42nd & Lancaster
3120,31st & Girard
3123,22nd & Cecil B. Moore
3124,Race Street Pier
3125,15th & South
3150,"15th & Castle, DiSilvestro Playground"
3152,"40th & Baltimore, Trolley Portal"
3154,12th & Callowhill
3155,7th & Fitzwater
3156,20th & Market
3157,"8th & Mifflin, Bok Building"
3158,Broad & Passyunk 
3159,38th & Spruce
3160,38th & Market
3161,30th Street Station East
3162,27th & South
3163,25th & Locust
3164,12th & Passyunk
3165,24th & Race SRT
3166,Frankford & Belgrade
3169,2nd & Race
3181,Crescent Park
3182,17th & Sansom
3183,15th & Kitty Hawk
3184,Health Sciences Drive
3185,11th & Market 
3187,20th & Race
3188,"Broad & Pattison, BSL"
3196,25th & Diamond
3197,Broad & Ritner
3200,Ridge & Master
3201,16th & Arch
3203,18th & Christian
3204,17th & Green
3205,17th & JFK
3207,34th & Chestnut
3208,34th & Spruce
3209,45th & Baltimore
3210,Broad & Diamond
3211,Corinthian & Poplar
3212,Schuylkill Banks Pergola
3213,Broad & Carpenter
3226,2nd & Norris
3235,16th & Callowhill
3236,24th & Pennsylvania 
3237,Broad & Oregon
3238,Aramingo & Cumberland
3240,44th & Haverford
3241,"52nd & Larchwood, Malcolm X Park"
3243,8th & Diamond
3245,Broad & Cecil B. Moore
3246,50th & Baltimore
3247,"47th & Aspen, Lucien Blackwell"
3248,24th & Christian
3249,34th & Arch
3250,4th & Wood
3251,29th & Tasker
3252,30th & Oakford
3253,"26th & Moore, Vare Recreation Center"
3254,16th & Montgomery
3255,Broad & Chestnut
3256,23rd & Chestnut
3258,52nd & Chestnut
3259,Saunders & Pearl
3261,2nd & Brown
3263,43rd & Powelton
3264,8th & Spruce
3265,Powelton & Lancaster
3266,Water & Mifflin
3267,19th & Oregon
3268,10th & Oxford
3271,53rd & Baltimore
3272,50th & Haverford
3275,York & Aramingo
3276,12th & Fairmount
3277,20th & Berks
3278,22nd & Sedgley
3279,13th & Mifflin
3280,50th & Woodland
3281,Lindbergh & Wheeler
3282,10th & Nevada
3284,Midvale & Cresson
3285,5th & Willow
3286,6th & Brown
3287,49th & Chester
3291,Ridge & Heritage
3292,5th & Wolf
3294,18th & Chestnut
3295,12th & Chestnut
3296,16th & Chestnut
3297,18th & Vine
3298,42nd & Woodland
3299,9th & Lombard
3300,Broad & Cherry
3301,18th & Walnut
3303,41st & Chestnut
3304,7th & South
3305,22nd & Lehigh
3306,28th & Lehigh
3307,27th & Clearfield
3310,Oxford & Glenwood
3313,10th & Oregon
3314,Front & Queen
3315,48th & Woodland
3316,16th & Wolf
3318,City Hall South
3319,Penn Treaty Park
3320,Broad & Master
3321,20th & Cuthbert
3322,7th & Passyunk
3323,Manayunk Bridge
3324,"Kelly Drive, Strawberry Mansion Bridge"
3325,Cedar & Norris
3326,"M.L.K. Drive, Strawberry Mansion Bridge"
3327,York & Gaul
3328,Kelly Drive Grandstand
3329,Cresson & Levering
3331,Girard & Palmer
3332,32nd & Allegheny
3333,18th & JFK Curbside
3334,7th & Dickinson
3335,Main & Shurs
3336,36th & Filbert
3337,6th & Master
3338,54th & Cedar
3340,27th & Pennsylvania
3341,York & Trenton
3342,22nd & Spring Garden
3344,56th & Chestnut
3345,5th & Spring Garden
3346,6th & Chestnut
3349,25th & Wharton
3350,Broad & Lehigh
3351,12th & Cambria
3352,Broad & Allegheny
3353,"Broad & Ontario, Temple Hospital"
3354,58th & Spruce
3356,12th & Normandy
3357,10th & Packer
3359,17th & Locust
3360,Broad & Reed
3361,"18th & Fernon, Aquinas Center"
3362,13th & Locust
3363,13th & Spruce
3365,"32nd & Baring, Drexel Park"
3368,23rd & Master
3369,Ridge & Ferry
3370,Pencoyd Bridge
3371,9th & Arch
3372,24th & Jackson
3373,11th & Wood
3374,26th & Poplar
3375,"Spring Garden Station, MFL"
3376,Thompson & Franklin
3378,4th & Arch
3381,48th & Baltimore
3382,Walnut & Rittenhouse
3383,"3rd & Wildey, Liberty Lands Park"
3385,8th & Chestnut
3387,6th & Girard
3388,8th & Brown
3389,Grays Ferry & Pemberton
3390,"52nd St Station, MFL "
3391,54th & City Ave
3392,30th & Reed
3393,2nd & George
3394,Broad & Snyder
3395,12th & Carpenter
3396,21st & Passyunk
3397,21st & Washington
3398,4th & Oregon
3399,American & Oxford
3400,12th & Walnut
3403,Wynnefield Station
3404,57th & Master
3405,Fitzwater & Juniper
3407,American & Berks
3408,2nd & Snyder
3409,"7th & Race, Franklin Square"
3410,"51st & Regent, Kingsessing Library"
3411,57th & Westminster 
3412,Cobbs Creek & Florence
3413,47th & Lancaster
3414,54th & Chester
3417,Germantown & Huntingdon
3418,Broad & Erie 
3421,Moyamensing & Ritner
3422,JFK Blvd at Schuylkill Yards
3423,"Ridge & Pensdale, Kendrick Recreation Center"
3425,"York-Dauphin Station, MFL"
3426,58th & Kingsessing
3427,"Aramingo & Huntingdon, Aramingo Square"
3428,57th & Diamond
3430,27th & Girard
3431,62nd & Market
3432,"Manayunk & Conarroe, Fairview Park"
3434,"Frankford & Columbia, Palmer Park"
3435,Huntingdon & Collins
3436,Allegheny & Richmond
3437,Schuylkill & Wharton
3438,"Cedar & Cambria, Cohocksink Recreation Center"
3439,"Lehigh & B, Temple Episcopal Hospital"
3440,Almond & Indiana
3441,22nd & Hamilton
3442,Kensington & F
3443,Terrace & Hermit
3444,23rd & Venango
3445,Frankford & Crease
3446,Overbrook Station
3447,2nd & Market
3448,Broad & Christian East
3449,6th & S Washington Sq
3450,53rd & Morse
3451,FDR Park
3452,Columbus & Spring Garden
3453,60th & Columbia
3454,4th & Lombard
3455,Moyamensing & Bigler
3459,63rd & Buist
3460,70th & Elmwood
3461,"69th & Guyer, James Finnegan Playground"
3462,20th & Sansom
3463,Germantown & St Paul
3464,53rd & Poplar
3465,18th & Pike
3468,Snyder & Dorrance
3469,10th & Phillies
3470,22nd & Spruce
3472,Bryn Mawr & City Ave
3473,23rd & Market 
